genres,id,vote_average,keywords
"[{'id': 10402}, {'id': 18}, {'id': 10751}]",2054.0,<8.0>,"[{'id': 1233}, {'id': 1310}, {'id': 1635}, {'id': 4344}, {'id': 4488}, {'id': 5289}, {'id': 6027}, {'id': 158558}]"
[{'id': 35}],10607.0,<8.0>,"[{'id': 248}, {'id': 398}, {'id': 898}, {'id': 4438}, {'id': 9755}, {'id': 10700}, {'id': 10726}, {'id': 11514}, {'id': 12425}, {'id': 13142}]"
"[{'id': 35}, {'id': 10749}]",19760.0,<6.0>,"[{'id': 2041}, {'id': 5918}, {'id': 9727}, {'id': 167868}]"
[{'id': 35}],9536.0,<6.0>,"[{'id': 4166}, {'id': 4459}, {'id': 6305}]"
"[{'id': 28}, {'id': 878}]",11525.0,<4.0>,"[{'id': 2157}, {'id': 4563}, {'id': 6104}, {'id': 9725}]"
"[{'id': 35}, {'id': 10749}]",4482.0,<6.0>,"[{'id': 128}, {'id': 2335}, {'id': 2918}, {'id': 3190}, {'id': 4580}, {'id': 187056}]"
[{'id': 35}],10634.0,<8.0>,"[{'id': 897}, {'id': 970}, {'id': 4562}, {'id': 8438}]"
"[{'id': 27}, {'id': 28}, {'id': 53}, {'id': 80}]",755.0,<8.0>,"[{'id': 246}, {'id': 380}, {'id': 459}, {'id': 797}, {'id': 798}, {'id': 1664}, {'id': 2483}, {'id': 2492}, {'id': 3133}, {'id': 3649}, {'id': 4063}, {'id': 6593}, {'id': 10093}, {'id': 14601}, {'id': 14687}, {'id': 15363}, {'id': 18072}, {'id': 18233}, {'id': 41380}, {'id': 163795}, {'id': 167664}, {'id': 168152}, {'id': 174878}, {'id': 188711}, {'id': 191441}, {'id': 227811}]"
"[{'id': 28}, {'id': 53}, {'id': 10749}]",11859.0,<6.0>,"[{'id': 258}, {'id': 416}, {'id': 572}, {'id': 703}, {'id': 772}, {'id': 818}, {'id': 1562}, {'id': 1812}, {'id': 1930}, {'id': 2808}, {'id': 3278}, {'id': 3713}, {'id': 4426}, {'id': 4530}, {'id': 4735}, {'id': 5430}, {'id': 6259}, {'id': 9714}, {'id': 9844}, {'id': 10410}, {'id': 10562}, {'id': 10718}, {'id': 10950}, {'id': 12371}, {'id': 13125}, {'id': 14967}, {'id': 15167}, {'id': 15321}, {'id': 15483}, {'id': 18320}, {'id': 18525}, {'id': 33456}, {'id': 34117}, {'id': 155555}, {'id': 156650}, {'id': 156788}, {'id': 156816}, {'id': 158247}, {'id': 176802}, {'id': 181145}, {'id': 188294}]"
"[{'id': 35}, {'id': 18}, {'id': 10749}]",28387.0,<8.0>,[{'id': 3616}]
"[{'id': 18}, {'id': 36}]",48750.0,<8.0>,"[{'id': 90}, {'id': 745}, {'id': 2792}, {'id': 10909}, {'id': 11508}]"
"[{'id': 18}, {'id': 10749}]",20927.0,<6.0>,"[{'id': 2778}, {'id': 10235}]"
"[{'id': 35}, {'id': 10751}]",36929.0,<4.0>,[{'id': 10624}]
"[{'id': 27}, {'id': 878}]",9102.0,<8.0>,"[{'id': 312}, {'id': 10158}, {'id': 15354}]"
"[{'id': 18}, {'id': 53}]",27526.0,<8.0>,"[{'id': 6381}, {'id': 6440}, {'id': 9748}, {'id': 9937}, {'id': 10183}, {'id': 10614}]"
"[{'id': 18}, {'id': 53}]",9623.0,<6.0>,"[{'id': 1417}, {'id': 1936}, {'id': 3012}, {'id': 5153}, {'id': 11038}, {'id': 33519}]"
"[{'id': 10751}, {'id': 18}]",46785.0,<8.0>,"[{'id': 1357}, {'id': 10594}, {'id': 33648}, {'id': 40846}]"
"[{'id': 18}, {'id': 80}]",400.0,<8.0>,"[{'id': 494}, {'id': 801}, {'id': 1422}, {'id': 1587}, {'id': 1909}, {'id': 1977}, {'id': 2022}, {'id': 2340}, {'id': 2708}, {'id': 6054}, {'id': 6259}, {'id': 9748}, {'id': 9826}, {'id': 10183}, {'id': 10391}, {'id': 10738}, {'id': 11221}, {'id': 13142}, {'id': 14819}, {'id': 33625}, {'id': 34094}]"
"[{'id': 18}, {'id': 35}]",880.0,<8.0>,"[{'id': 236}, {'id': 240}, {'id': 460}, {'id': 490}, {'id': 570}, {'id': 791}, {'id': 936}, {'id': 1842}, {'id': 1956}, {'id': 2383}, {'id': 3154}, {'id': 3371}, {'id': 4129}, {'id': 4402}, {'id': 5331}, {'id': 6009}, {'id': 6089}, {'id': 6145}, {'id': 9457}, {'id': 10180}, {'id': 10707}, {'id': 11925}, {'id': 13160}, {'id': 187056}]"
"[{'id': 10749}, {'id': 18}]",146599.0,<6.0>,"[{'id': 6984}, {'id': 10235}, {'id': 11004}, {'id': 12532}]"
"[{'id': 18}, {'id': 10749}]",8447.0,<8.0>,"[{'id': 4034}, {'id': 7579}, {'id': 14760}, {'id': 182662}, {'id': 208526}]"
"[{'id': 28}, {'id': 18}]",10534.0,<8.0>,"[{'id': 2082}, {'id': 2913}, {'id': 3180}, {'id': 10349}, {'id': 10683}, {'id': 18068}, {'id': 46962}, {'id': 167836}, {'id': 167837}, {'id': 167843}, {'id': 167861}, {'id': 167863}, {'id': 167868}, {'id': 168683}, {'id': 208992}]"
"[{'id': 12}, {'id': 35}, {'id': 10751}]",17414.0,<6.0>,"[{'id': 5306}, {'id': 5572}, {'id': 10624}, {'id': 14762}, {'id': 158039}]"
